.2025-11-10 19:43:37,606 - main - INFO - 
2025-11-10 19:43:37,607 - main - INFO - ================================================================================
2025-11-10 19:43:37,608 - main - INFO -   🛑 Shutting down application...
2025-11-10 19:43:37,609 - app.services.mongodb_service_enhanced - INFO - 🔌 Disconnected from MongoDB
2025-11-10 19:43:37,610 - main - INFO -   ✅ Enhanced MongoDB connection closed
2025-11-10 19:43:37,611 - app.services.user_subscription_service - INFO - 🔌 Disconnected from MongoDB
2025-11-10 19:43:37,611 - main - INFO -   ✅ User Subscription Service connection closed
2025-11-10 19:43:37,612 - app.services.user_documents_service - INFO - 🔌 User Documents Service disconnected from MongoDB
2025-11-10 19:43:37,613 - main - INFO -   ✅ User Documents Service connection closed
2025-11-10 19:43:37,613 - main - INFO -   ✅ Cleaned up 0 temporary files
2025-11-10 19:43:37,614 - main - INFO -   ✅ Application stopped successfully
2025-11-10 19:43:37,614 - main - INFO - ================================================================================
2025-11-10 19:43:37,614 - main - INFO - 
2025-11-11 15:28:24,152 - main - INFO - 
2025-11-11 15:28:24,152 - main - INFO - ================================================================================
2025-11-11 15:28:24,152 - main - INFO -   INSURANCE QUOTE COMPARISON API v3.1
2025-11-11 15:28:24,153 - main - INFO -   Production-Ready Complete Integration
2025-11-11 15:28:24,153 - main - INFO - ================================================================================
2025-11-11 15:28:24,153 - main - INFO -   AI Model: gpt-4o-mini
2025-11-11 15:28:24,153 - main - INFO -   Upload Directory: uploads
2025-11-11 15:28:24,153 - main - INFO -   Max File Size: 20MB
2025-11-11 15:28:24,154 - main - INFO - ================================================================================
2025-11-11 15:28:24,154 - main - INFO -   ✅ Upload directory ready: uploads
2025-11-11 15:28:24,154 - main - INFO -   ✅ Logs directory ready: logs/
2025-11-11 15:28:24,155 - app.services.mongodb_service_enhanced - INFO - 🔌 Connecting to MongoDB: mongodb://localhost:27017
2025-11-11 15:28:24,437 - app.services.mongodb_service_enhanced - INFO - ✅ Successfully connected to MongoDB
2025-11-11 15:28:24,451 - app.services.mongodb_service_enhanced - INFO - ✅ Database indexes created successfully
2025-11-11 15:28:24,452 - main - INFO -   ✅ Enhanced MongoDB connected: mongodb://localhost:27017
2025-11-11 15:28:24,453 - app.services.user_subscription_service - WARNING - ⚠️  No database name specified, using default: hakem-ai-backend
2025-11-11 15:28:24,453 - app.services.user_subscription_service - WARNING -    If this is wrong, set MONGODB_DATABASE environment variable
2025-11-11 15:28:24,454 - app.services.user_subscription_service - INFO - 🔌 Connecting to MongoDB for user subscription checks
2025-11-11 15:28:24,454 - app.services.user_subscription_service - INFO -    URL: mongodb://localhost:27017
2025-11-11 15:28:24,455 - app.services.user_subscription_service - INFO -    Database: hakem-ai-backend
2025-11-11 15:28:24,493 - app.services.user_subscription_service - INFO - ✅ Successfully connected to MongoDB for user subscription checks
2025-11-11 15:28:24,494 - app.services.user_subscription_service - INFO - 📋 Available databases: ['admin', 'config', 'hakem-ai-backend', 'insurance_comparison', 'local']
2025-11-11 15:28:24,495 - app.services.user_subscription_service - INFO - 📋 Collections in 'hakem-ai-backend': ['user_documents', 'admins', 'users']
2025-11-11 15:28:24,497 - app.services.user_subscription_service - INFO - 📊 Users collection has 3 documents
2025-11-11 15:28:24,498 - main - INFO -   ✅ User Subscription Service connected
2025-11-11 15:28:24,498 - app.services.user_documents_service - INFO - 🔌 Connecting User Documents Service to MongoDB
2025-11-11 15:28:24,498 - app.services.user_documents_service - INFO -    URL: mongodb://localhost:27017
2025-11-11 15:28:24,499 - app.services.user_documents_service - INFO -    Database: hakem-ai-backend
2025-11-11 15:28:24,529 - app.services.user_documents_service - INFO - ✅ User Documents Service connected to MongoDB
2025-11-11 15:28:24,529 - main - INFO -   ✅ User Documents Service connected
2025-11-11 15:28:24,530 - main - INFO -   ✅ Progress tracker cleanup task started
2025-11-11 15:28:24,531 - main - INFO - 
2025-11-11 15:28:24,531 - main - INFO -   🎯 INTEGRATED COMPONENTS:
2025-11-11 15:28:24,532 - main - INFO -      • AI Parser v6.0: 6-stage comprehensive extraction
2025-11-11 15:28:24,532 - main - INFO -        - Proper entity identification (insurer vs insured)
2025-11-11 15:28:24,533 - main - INFO -        - Separates warranties from extensions
2025-11-11 15:28:24,533 - main - INFO -        - Extracts subjectivities & operational details
2025-11-11 15:28:24,534 - main - INFO -        - Correct deductible tier detection
2025-11-11 15:28:24,534 - main - INFO -        - Full benefits extraction (30+, not 4)
2025-11-11 15:28:24,534 - main - INFO - 
2025-11-11 15:28:24,535 - main - INFO -      • AI Ranker v2.0: Complete comparison engine
2025-11-11 15:28:24,535 - main - INFO -        - Generates ALL sections comprehensively
2025-11-11 15:28:24,535 - main - INFO -        - Identifies unique items per provider
2025-11-11 15:28:24,536 - main - INFO -        - Transparent scoring methodology
2025-11-11 15:28:24,536 - main - INFO -        - Uses full _extended_data from parser
2025-11-11 15:28:24,536 - main - INFO - 
2025-11-11 15:28:24,536 - main - INFO -      • Routes v3.1: Simplified orchestration
2025-11-11 15:28:24,537 - main - INFO -        - Single endpoint auto-populates everything
2025-11-11 15:28:24,537 - main - INFO -        - No manual section generation
2025-11-11 15:28:24,537 - main - INFO -        - Complete MongoDB integration
2025-11-11 15:28:24,537 - main - INFO - 
2025-11-11 15:28:24,538 - main - INFO -   🔧 CRITICAL FIXES IN v3.1:
2025-11-11 15:28:24,538 - main - INFO -      ✅ Benefits count: 30+ (was 4)
2025-11-11 15:28:24,539 - main - INFO -      ✅ Warranty categorization: Proper separation
2025-11-11 15:28:24,539 - main - INFO -      ✅ Subjectivities: Now included
2025-11-11 15:28:24,539 - main - INFO -      ✅ Deductibles: Correct tier (SR 1M, not SR 50K)
2025-11-11 15:28:24,540 - main - INFO -      ✅ Operational details: Validity, payment, brokerage
2025-11-11 15:28:24,540 - main - INFO -      ✅ Scoring: Transparent methodology with breakdown
2025-11-11 15:28:24,540 - main - INFO - 
2025-11-11 15:28:24,541 - main - INFO -   📡 AVAILABLE ENDPOINTS:
2025-11-11 15:28:24,541 - main - INFO -      Main:
2025-11-11 15:28:24,541 - main - INFO -        POST /api/compare-quotes           Upload PDFs, get everything
2025-11-11 15:28:24,541 - main - INFO - 
